epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2169.38,1.08074,0.64281,1.107,0.82474,0.86109,0.89077,0.59954,1.11851,0.67298,1.16198,0.000742625,0.000742625,0.000742625
43,2220.98,1.07146,0.63838,1.10236,0.85889,0.80081,0.90411,0.61306,1.13215,0.66053,1.16033,0.00073025,0.00073025,0.00073025
44,2272.59,1.06722,0.63496,1.09442,0.87963,0.82096,0.90706,0.61198,1.1208,0.64815,1.16323,0.000717875,0.000717875,0.000717875
45,2324.16,1.06872,0.63032,1.10069,0.82849,0.83606,0.90334,0.62083,1.1202,0.65052,1.17421,0.0007055,0.0007055,0.0007055
46,2375.77,1.06658,0.63415,1.10481,0.82891,0.85089,0.91286,0.61602,1.12784,0.64925,1.17393,0.000693125,0.000693125,0.000693125
47,2427.33,1.05879,0.62117,1.0898,0.83949,0.87762,0.91774,0.61898,1.12257,0.64941,1.16158,0.00068075,0.00068075,0.00068075
48,2478.88,1.03632,0.62593,1.07945,0.84265,0.86826,0.92013,0.62326,1.11516,0.62596,1.15504,0.000668375,0.000668375,0.000668375
49,2530.62,1.04407,0.61364,1.09041,0.8065,0.89619,0.91987,0.62647,1.11663,0.63694,1.15531,0.000656,0.000656,0.000656
50,2582.29,1.02294,0.58152,1.07379,0.84762,0.86134,0.91912,0.62585,1.10793,0.62215,1.15582,0.000643625,0.000643625,0.000643625
51,2633.8,1.00752,0.59859,1.06918,0.87509,0.8779,0.9246,0.62226,1.0992,0.62817,1.14774,0.00063125,0.00063125,0.00063125
52,2685.35,0.99954,0.58425,1.06901,0.87049,0.86718,0.92168,0.62694,1.09788,0.64101,1.14905,0.000618875,0.000618875,0.000618875
53,2737.05,1.02319,0.58679,1.07455,0.86796,0.85891,0.93112,0.62849,1.09209,0.62966,1.15323,0.0006065,0.0006065,0.0006065
54,2788.8,1.0117,0.58531,1.06712,0.84824,0.88724,0.92479,0.63556,1.09584,0.6359,1.1572,0.000594125,0.000594125,0.000594125
55,2840.53,1.01617,0.57879,1.0623,0.84824,0.86512,0.9201,0.62189,1.1176,0.63721,1.15477,0.00058175,0.00058175,0.00058175
